Id_actividad,Descripcion_actividad,Id_proceso
484,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,584
485,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,556
486,Cambio de rodamiento,725
487,Cambio de rodamiento,927
488,Cambio de rodamiento,854
489,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,399
490,Cambio de rodamiento,771
491,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),729
492,Cambio de arrancador,274
493,Reparacion o cambio de brazos telescopicos y vigas,293
494,Cambio de arrancador,592
495,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),495
496,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),882
497,materiales y equipos,161
498,Reparacion o cambio de brazos telescopicos y vigas,806
499,Cambio de alternador,113
500,Cambio de alternador,178
501,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),556
502,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),854
503,Reparacion o cambio de brazos telescopicos y vigas,461
504,Cambio de alternador,606
505,Cambio de colector electrico,976
506,Cambio de la cuchara del Scoop,637
507,Cambio de labio de cuchara del Scoop,513
508,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,222
509,Reparacion o cambio de brazos telescopicos y vigas,539
510,TRASLADO DE TABLERO CELDA O MINI BRECK,4
511,Suministro y traslado de herramientas,206
512,Suministro y traslado de herramientas,64
513,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),133
514,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,529
515,Cambio de labio de cuchara del Scoop,524
516,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),713
517,Reparacion o cambio de brazos telescopicos y vigas,538
518,TRASLADO DE TABLERO CELDA O MINI BRECK,979
519,Cambio de arrancador,496
520,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,253
521,Cambio de arrancador,55
522,Cambio de boca masa,47
523,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),380
524,Cambio de alternador,545
525,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,482
526,materiales y equipos,443
527,materiales y equipos,548
528,Cambio de colector electrico,937
529,Cambio de la cuchara del Scoop,97
530,Cambio de boca masa,800
531,Reparacion o cambio de brazos telescopicos y vigas,100
532,Cambio de la cuchara del Scoop,251
533,Cambio de la cuchara del Scoop,814
534,Cambio de rodamiento,215
535,Suministro y traslado de herramientas,67
536,TRASLADO DE TABLERO CELDA O MINI BRECK,395
537,Estructura de Equipos Trackless,526
538,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,413
539,materiales y equipos,266
540,Cambio de arrancador,676
541,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,130
542,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,402
543,Reparacion o cambio de brazos telescopicos y vigas,38
544,Cambio de rodamiento,299
545,materiales y equipos,306
546,Cambio de arrancador,580
547,Reparacion o cambio de brazos telescopicos y vigas,257
548,TRASLADO DE TABLERO CELDA O MINI BRECK,255
549,materiales y equipos,318
550,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,821
551,Cambio de alternador,565
552,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,13
553,Suministro y traslado de herramientas,559
554,Cambio de colector electrico,187
555,Cambio de boca masa,891
556,TRASLADO DE TABLERO CELDA O MINI BRECK,895
557,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,384
558,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,651
559,Cambio de labio de cuchara del Scoop,296
560,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,380
561,Reparacion o cambio de brazos telescopicos y vigas,952
562,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,239
563,Cambio de rodamiento,308
564,Cambio de boca masa,106
565,Suministro y traslado de herramientas,740
566,Estructura de Equipos Trackless,868
567,Cambio de MANTLE (forros),324
568,Cambio de MANTLE (forros),793
569,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),375
570,Estructura de Equipos Trackless,475
571,materiales y equipos,129
572,materiales y equipos,524
573,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,58
574,TRASLADO DE TABLERO CELDA O MINI BRECK,289
575,Cambio de la cuchara del Scoop,941
576,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),408
577,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,715
578,Cambio de rodamiento,126
579,Cambio de arrancador,360
580,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),592
581,TRASLADO DE TABLERO CELDA O MINI BRECK,422
582,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,692
583,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),773
584,Cambio de alternador,495
585,Cambio de la cuchara del Scoop,211
586,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),993
587,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,35
588,Estructura de Equipos Trackless,422
589,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,678
590,Estructura de Equipos Trackless,315
591,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,936
592,Cambio de alternador,173
593,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,930
594,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,345
595,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),380
596,materiales y equipos,861
597,Cambio de labio de cuchara del Scoop,804
598,Cambio de boca masa,82
599,Cambio de colector electrico,243
600,Cambio de alternador,203
601,Suministro y traslado de herramientas,981
602,Cambio de rodamiento,142
603,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,437
604,Cambio de la cuchara del Scoop,476
605,Cambio de colector electrico,397
606,Cambio de MANTLE (forros),961
607,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),520
608,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,331
609,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),995
610,Cambio de boca masa,667
611,Estructura de Equipos Trackless,398
612,Cambio de labio de cuchara del Scoop,814
613,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,837
614,TRASLADO DE TABLERO CELDA O MINI BRECK,255
615,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,212
616,Cambio de alternador,832
617,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,166
618,Cambio de boca masa,305
619,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),908
620,Cambio de labio de cuchara del Scoop,765
621,Cambio de alternador,538
622,Cambio de la cuchara del Scoop,615
623,Cambio de MANTLE (forros),233
624,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,267
625,Cambio de labio de cuchara del Scoop,244
626,Cambio de colector electrico,570
627,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,547
628,Cambio de rodamiento,615
629,Cambio de arrancador,555
630,Cambio de alternador,454
631,Estructura de Equipos Trackless,142
632,materiales y equipos,933
633,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,964
634,Cambio de rodamiento,986
635,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,563
636,TRASLADO DE TABLERO CELDA O MINI BRECK,290
637,materiales y equipos,860
638,Reparacion o cambio de brazos telescopicos y vigas,529
639,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,244
640,Cambio de la cuchara del Scoop,164
641,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,581
642,Cambio de MANTLE (forros),984
643,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,420
644,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),241
645,Cambio de alternador,231
646,Suministro y traslado de herramientas,414
647,Cambio de colector electrico,82
648,Cambio de la cuchara del Scoop,648
649,Cambio de alternador,230
650,Cambio de la cuchara del Scoop,120
651,Cambio de rodamiento,395
652,Cambio de la cuchara del Scoop,360
653,Cambio de MANTLE (forros),583
654,Cambio de MANTLE (forros),991
655,Cambio de MANTLE (forros),542
656,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),837
657,Cambio de alternador,844
658,Cambio de colector electrico,98
659,Cambio de colector electrico,558
660,Cambio de colector electrico,502
661,Cambio de alternador,97
662,materiales y equipos,861
663,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,238
664,Cambio de alternador,935
665,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,701
666,Cambio de MANTLE (forros),580
667,Cambio de boca masa,408
668,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,455
669,Estructura de Equipos Trackless,244
670,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,256
671,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),634
672,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,772
673,Cambio de alternador,10
674,Cambio de arrancador,202
675,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,214
676,Cambio de rodamiento,467
677,Cambio de MANTLE (forros),370
678,Cambio de alternador,260
679,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),102
680,Cambio de rodamiento,927
681,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,510
682,Cambio de alternador,658
683,Estructura de Equipos Trackless,738
684,Cambio de labio de cuchara del Scoop,353
685,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),965
686,Cambio de la cuchara del Scoop,352
687,Cambio de colector electrico,237
688,Cambio de boca masa,583
689,Cambio de boca masa,66
690,Cambio de boca masa,491
691,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,935
692,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),627
693,Cambio de rodamiento,101
694,Cambio de rodamiento,116
695,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,290
696,Cambio de alternador,911
697,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,309
698,Cambio de rodamiento,702
699,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),981
700,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,341
701,Cambio de boca masa,556
702,Cambio de MANTLE (forros),79
703,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,59
704,Reparacion o cambio de brazos telescopicos y vigas,149
705,Cambio de la cuchara del Scoop,447
706,Cambio de rodamiento,378
707,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),649
708,Estructura de Equipos Trackless,49
709,materiales y equipos,441
710,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),667
711,Cambio de boca masa,323
712,Cambio de arrancador,304
713,Estructura de Equipos Trackless,572
714,Cambio de boca masa,658
715,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),138
716,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),972
717,Reparacion o cambio de brazos telescopicos y vigas,902
718,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),125
719,Cambio de la cuchara del Scoop,983
720,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,853
721,materiales y equipos,416
722,Cambio de la cuchara del Scoop,183
723,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,953
724,Cambio de rodamiento,966
725,Cambio de arrancador,959
726,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),256
727,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),548
728,Estructura de Equipos Trackless,110
729,TRASLADO DE TABLERO CELDA O MINI BRECK,729
730,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,654
731,Reparacion o cambio de brazos telescopicos y vigas,776
732,Cambio de labio de cuchara del Scoop,967
733,Cambio de colector electrico,818
734,Cambio de boca masa,802
735,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,113
736,TRASLADO DE TABLERO CELDA O MINI BRECK,53
737,Estructura de Equipos Trackless,802
738,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,145
739,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,244
740,materiales y equipos,144
741,Suministro y traslado de herramientas,711
742,Cambio de la cuchara del Scoop,146
743,Cambio de arrancador,633
744,TRASLADO DE TABLERO CELDA O MINI BRECK,84
745,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,206
746,Cambio de arrancador,375
747,Cambio de alternador,55
748,Cambio de boca masa,6
749,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,908
750,materiales y equipos,601
751,Estructura de Equipos Trackless,174
752,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,763
753,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),769
754,Cambio de arrancador,620
755,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),137
756,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),88
757,Cambio de arrancador,866
758,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,421
759,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,51
760,Cambio de alternador,608
761,Cambio de rodamiento,35
762,Cambio de la cuchara del Scoop,38
763,Reparacion o cambio de brazos telescopicos y vigas,216
764,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,420
765,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,371
766,Cambio de arrancador,156
767,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),72
768,Cambio de labio de cuchara del Scoop,465
769,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,906
770,Estructura de Equipos Trackless,116
771,TRASLADO DE TABLERO CELDA O MINI BRECK,339
772,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,707
773,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),705
774,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),587
775,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),804
776,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,38
777,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,995
778,Cambio de la cuchara del Scoop,180
779,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),82
780,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),304
781,Suministro y traslado de herramientas,595
782,Cambio de MANTLE (forros),444
783,Cambio de MANTLE (forros),690
784,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),153
785,Cambio de alternador,949
786,Cambio de colector electrico,184
787,Suministro y traslado de herramientas,664
788,Cambio de labio de cuchara del Scoop,445
789,Cambio de la cuchara del Scoop,573
790,Cambio de arrancador,64
791,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),693
792,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,135
793,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,483
794,Cambio de colector electrico,208
795,TRASLADO DE TABLERO CELDA O MINI BRECK,154
796,Cambio de arrancador,180
797,Cambio de boca masa,355
798,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),791
799,Reparacion o cambio de brazos telescopicos y vigas,500
800,Suministro y traslado de herramientas,529
801,Suministro y traslado de herramientas,685
802,Suministro y traslado de herramientas,518
803,Cambio de labio de cuchara del Scoop,137
804,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,5
805,TRASLADO DE TABLERO CELDA O MINI BRECK,366
806,Reparacion o cambio de brazos telescopicos y vigas,435
807,Cambio de rodamiento,107
808,Cambio de la cuchara del Scoop,468
809,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,901
810,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,318
811,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,151
812,Cambio de boca masa,333
813,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,444
814,Estructura de Equipos Trackless,468
815,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),612
816,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,535
817,materiales y equipos,307
818,Suministro y traslado de herramientas,361
819,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),302
820,Cambio de la cuchara del Scoop,358
821,Suministro y traslado de herramientas,674
822,materiales y equipos,692
823,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),593
824,Cambio de alternador,626
825,TRASLADO DE TABLERO CELDA O MINI BRECK,612
826,Reparacion o cambio de brazos telescopicos y vigas,84
827,Cambio de alternador,546
828,Reparacion o cambio de brazos telescopicos y vigas,902
829,Cambio de arrancador,996
830,Cambio de la cuchara del Scoop,941
831,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,685
832,Reparacion o cambio de brazos telescopicos y vigas,801
833,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,788
834,Cambio de arrancador,212
835,Cambio de rodamiento,942
836,materiales y equipos,182
837,Cambio de labio de cuchara del Scoop,978
838,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,910
839,Cambio de colector electrico,793
840,Cambio de MANTLE (forros),201
841,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,893
842,Cambio de labio de cuchara del Scoop,431
843,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,474
844,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,101
845,Reparacion o cambio de brazos telescopicos y vigas,376
846,Cambio de la cuchara del Scoop,494
847,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,835
848,Cambio de arrancador,369
849,Suministro y traslado de herramientas,8
850,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,33
851,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,498
852,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,298
853,Reparacion o cambio de brazos telescopicos y vigas,971
854,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),875
855,Reparacion o cambio de brazos telescopicos y vigas,804
856,Cambio de rodamiento,229
857,Suministro y traslado de herramientas,595
858,Estructura de Equipos Trackless,319
859,materiales y equipos,474
860,Cambio de labio de cuchara del Scoop,171
861,Cambio de alternador,417
862,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,703
863,Cambio de la cuchara del Scoop,692
864,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,212
865,Cambio de arrancador,718
866,Estructura de Equipos Trackless,700
867,Reparacion o cambio de brazos telescopicos y vigas,299
868,Cambio de arrancador,153
869,Suministro y traslado de herramientas,538
870,Cambio de MANTLE (forros),158
871,Cambio de labio de cuchara del Scoop,652
872,Cambio de arrancador,480
873,Estructura de Equipos Trackless,498
874,materiales y equipos,196
875,materiales y equipos,622
876,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,35
877,Cambio de arrancador,622
878,TRASLADO DE TABLERO CELDA O MINI BRECK,959
879,TRASLADO DE TABLERO CELDA O MINI BRECK,81
880,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),241
881,Cambio de boca masa,277
882,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),982
883,Cambio de arrancador,587
884,Cambio de la cuchara del Scoop,692
885,Cambio de rodamiento,488
886,materiales y equipos,543
887,Suministro y traslado de herramientas,432
888,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,679
889,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),207
890,Suministro y traslado de herramientas,585
891,Cambio de boca masa,577
892,Cambio de alternador,314
893,Cambio de labio de cuchara del Scoop,854
894,Reparacion o cambio de brazos telescopicos y vigas,240
895,Estructura de Equipos Trackless,838
896,Cambio de la cuchara del Scoop,990
897,Cambio de la cuchara del Scoop,270
898,Cambio de alternador,222
899,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,673
900,Cambio de rodamiento,934
901,Cambio de colector electrico,223
902,Cambio de arrancador,757
903,Cambio de MANTLE (forros),134
904,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,122
905,Cambio de alternador,432
906,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,65
907,Cambio de MANTLE (forros),188
908,TRASLADO DE TABLERO CELDA O MINI BRECK,34
909,Cambio de MANTLE (forros),874
910,Cambio de MANTLE (forros),571
911,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,679
912,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,539
913,TRASLADO DE TABLERO CELDA O MINI BRECK,154
914,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,322
915,Estructura de Equipos Trackless,503
916,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),137
917,Reparacion o cambio de brazos telescopicos y vigas,142
918,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,522
919,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,553
920,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),391
921,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,72
922,Suministro y traslado de herramientas,115
923,Cambio de MANTLE (forros),648
924,Cambio de rodamiento,535
925,Cambio de labio de cuchara del Scoop,575
926,Cambio de la cuchara del Scoop,665
927,Cambio de boca masa,605
928,TRASLADO DE TABLERO CELDA O MINI BRECK,342
929,Reparacion o cambio de brazos telescopicos y vigas,752
930,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,737
931,Cambio de la cuchara del Scoop,421
932,Cambio de alternador,526
933,Cambio de colector electrico,78
934,Estructura de Equipos Trackless,64
935,TRASLADO DE TABLERO CELDA O MINI BRECK,422
936,Cambio de labio de cuchara del Scoop,283
937,Cambio de labio de cuchara del Scoop,964
938,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,423
939,Cambio de arrancador,82
940,materiales y equipos,927
941,Cambio de boca masa,210
942,Cambio de boca masa,714
943,Cambio de arrancador,782
944,Cambio de labio de cuchara del Scoop,763
945,Cambio de labio de cuchara del Scoop,800
946,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),548
947,Reparacion o cambio de brazos telescopicos y vigas,712
948,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,529
949,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),130
950,TRASLADO DE TABLERO CELDA O MINI BRECK,917
951,Cambio de colector electrico,864
952,Cambio de rodamiento,307
953,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),99
954,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,201
955,Cambio de colector electrico,491
956,Reparacion o cambio de brazos telescopicos y vigas,813
957,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,13
958,Cambio de labio de cuchara del Scoop,324
959,TRASLADO DE TABLERO CELDA O MINI BRECK,155
960,Suministro y traslado de herramientas,387
961,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),648
962,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),952
963,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),761
964,Suministro y traslado de herramientas,663
965,Reparacion o cambio de brazos telescopicos y vigas,451
966,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,656
967,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,936
968,Cambio de MANTLE (forros),945
969,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,700
970,materiales y equipos,34
971,Cambio de rodamiento,198
972,TRASLADO DE TABLERO CELDA O MINI BRECK,890
973,Cambio de colector electrico,552
974,Cambio de arrancador,836
975,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,346
976,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),197
977,Cambio de arrancador,491
978,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),688
979,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,593
980,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,853
