"Id_Notificacion","Id_Administrador","Tipo_Evento","Fecha_Hora_Notificacion","Estado_Notificacion","Mensaje_Notificacion","Prioridad","Id_Sesion","Id_autenticacion"
"203","4","Sesión Expirada","2023-12-12 19:39:27","Pendiente","Sesión Expirada detectado desde Arequipa, Peru","Alta","601","885"
"204","2","Fallo de Autenticación","2023-01-01 06:09:00","Pendiente","Fallo de Autenticación detectado desde Tarapoto, Peru","Alta","700","81"
"205","3","Reintento de Autenticación","2024-02-21 21:42:23","Resuelta","Reintento de Autenticación detectado desde Lima, Peru","Alta","777","438"
"206","1","Fallo de Autenticación","2023-04-11 06:00:44","Leída","Fallo de Autenticación detectado desde Tarapoto, Peru","Baja","397","82"
"207","3","Reintento de Autenticación","2023-06-06 05:26:36","En Proceso","Reintento de Autenticación detectado desde Cusco, Peru","Alta","279","331"
"208","5","Intento de Hackeo","2024-01-06 04:39:18","Investigando","Intento de Hackeo detectado desde Juliaca, Peru","Baja","736","424"
"209","2","Acceso Bloqueado","2023-07-27 13:55:45","Investigando","Acceso Bloqueado detectado desde Cajamarca, Peru","Media","426","842"
"210","2","Intento de Hackeo","2023-09-10 16:17:47","Pendiente","Intento de Hackeo detectado desde Tacna, Peru","Media","572","533"
"211","3","Intento de Hackeo","2024-10-24 16:07:05","Enviada","Intento de Hackeo detectado desde Tumbes, Peru","Alta","655","725"
"212","5","Sesión Expirada","2024-08-02 17:56:19","Pendiente","Sesión Expirada detectado desde Chiclayo, Peru","Baja","553","218"
"213","1","Cambio de Contraseña","2023-08-30 19:01:06","Leída","Cambio de Contraseña detectado desde Huaraz, Peru","Baja","215","583"
"214","3","Fallo de Autenticación","2023-06-23 08:20:38","Resuelta","Fallo de Autenticación detectado desde Lima, Peru","Alta","47","920"
"215","2","Intento de Hackeo","2024-11-14 00:19:15","Investigando","Intento de Hackeo detectado desde Juliaca, Peru","Alta","369","486"
"216","2","Reintento de Autenticación","2024-06-13 11:40:40","Leída","Reintento de Autenticación detectado desde Juliaca, Peru","Media","680","864"
"217","5","Sesión Expirada","2024-07-15 10:17:31","Investigando","Sesión Expirada detectado desde Tumbes, Peru","Media","157","780"
"218","1","Acceso Permitido","2023-02-21 18:24:21","Investigando","Acceso Permitido detectado desde Lima, Peru","Media","788","754"
"219","3","Sesión Sospechosa","2023-07-10 21:47:09","En Proceso","Sesión Sospechosa detectado desde Juliaca, Peru","Media","98","179"
"220","3","Sesión Sospechosa","2023-02-04 20:59:10","Investigando","Sesión Sospechosa detectado desde Huancayo, Peru","Alta","178","166"
"221","5","Acceso Permitido","2023-03-30 16:26:47","Enviada","Acceso Permitido detectado desde Piura, Peru","Alta","506","451"
"222","5","Recuperación de Contraseña","2024-05-05 07:28:14","Pendiente","Recuperación de Contraseña detectado desde Ayacucho, Peru","Media","723","627"
"223","5","Reintento de Autenticación","2023-11-07 09:07:25","Resuelta","Reintento de Autenticación detectado desde Iquitos, Peru","Baja","931","929"
"224","4","Fallo de Autenticación","2024-06-12 18:54:12","Investigando","Fallo de Autenticación detectado desde Chiclayo, Peru","Alta","191","666"
"225","2","Recuperación de Contraseña","2024-10-30 20:05:24","Pendiente","Recuperación de Contraseña detectado desde Trujillo, Peru","Media","214","712"
"226","2","Recuperación de Contraseña","2023-04-02 08:43:28","Investigando","Recuperación de Contraseña detectado desde Tarapoto, Peru","Media","575","821"
"227","4","Reintento de Autenticación","2023-06-21 14:17:01","En Proceso","Reintento de Autenticación detectado desde Sullana, Peru","Alta","865","214"
"228","2","Sesión Sospechosa","2023-07-27 06:23:32","Enviada","Sesión Sospechosa detectado desde Sullana, Peru","Baja","588","994"
"229","1","Cambio de Contraseña","2024-04-29 11:19:39","Investigando","Cambio de Contraseña detectado desde Tumbes, Peru","Media","421","309"
"230","3","Sesión Sospechosa","2023-12-11 05:04:23","Leída","Sesión Sospechosa detectado desde Trujillo, Peru","Media","596","21"
"231","4","Acceso Permitido","2023-05-31 08:48:34","Enviada","Acceso Permitido detectado desde Lima, Peru","Baja","805","599"
"232","3","Sesión Expirada","2024-02-19 21:04:33","Investigando","Sesión Expirada detectado desde Cusco, Peru","Alta","886","247"
"233","3","Inicio de Sesión No Reconocido","2024-12-18 10:07:00","Resuelta","Inicio de Sesión No Reconocido detectado desde Pisco, Peru","Baja","152","742"
"234","4","Acceso Bloqueado","2024-04-15 02:56:41","Resuelta","Acceso Bloqueado detectado desde Tarapoto, Peru","Media","704","948"
"235","2","Sesión Expirada","2024-03-30 13:54:13","Pendiente","Sesión Expirada detectado desde Tarapoto, Peru","Media","134","182"
"236","2","Inicio de Sesión No Reconocido","2023-10-12 19:30:13","Enviada","Inicio de Sesión No Reconocido detectado desde Puerto Maldonado, Peru","Media","153","701"
"237","2","Intento de Hackeo","2023-07-26 04:27:57","Investigando","Intento de Hackeo detectado desde Arequipa, Peru","Alta","199","263"
"238","5","Acceso Bloqueado","2023-10-24 17:50:04","Leída","Acceso Bloqueado detectado desde Huancayo, Peru","Baja","866","269"
"239","4","Acceso Permitido","2023-08-23 23:52:18","Leída","Acceso Permitido detectado desde Huancayo, Peru","Media","661","430"
"240","4","Fallo de Autenticación","2023-03-12 09:49:16","Leída","Fallo de Autenticación detectado desde Chiclayo, Peru","Media","9","311"
"241","2","Recuperación de Contraseña","2023-11-30 07:17:18","Resuelta","Recuperación de Contraseña detectado desde Tarapoto, Peru","Baja","448","870"
"242","3","Inicio de Sesión No Reconocido","2024-07-24 12:08:30","Leída","Inicio de Sesión No Reconocido detectado desde Ayacucho, Peru","Alta","311","407"
"243","5","Recuperación de Contraseña","2024-11-12 18:54:56","Pendiente","Recuperación de Contraseña detectado desde Cajamarca, Peru","Baja","641","889"
"244","1","Intento de Hackeo","2024-09-03 00:28:46","Enviada","Intento de Hackeo detectado desde Moquegua, Peru","Alta","824","193"
"245","4","Acceso Bloqueado","2024-02-14 16:31:34","Enviada","Acceso Bloqueado detectado desde Pucallpa, Peru","Alta","543","412"
"246","4","Reintento de Autenticación","2024-09-18 07:56:14","Pendiente","Reintento de Autenticación detectado desde Arequipa, Peru","Media","570","201"
"247","4","Fallo de Autenticación","2023-01-23 16:22:26","Enviada","Fallo de Autenticación detectado desde Cusco, Peru","Media","350","513"
"248","2","Sesión Sospechosa","2024-07-11 21:57:46","Resuelta","Sesión Sospechosa detectado desde Piura, Peru","Alta","215","543"
"249","5","Sesión Sospechosa","2023-11-04 09:39:29","Investigando","Sesión Sospechosa detectado desde Tumbes, Peru","Baja","533","299"
"250","2","Fallo de Autenticación","2024-08-15 18:43:54","Enviada","Fallo de Autenticación detectado desde Cusco, Peru","Media","911","894"
"251","5","Acceso Permitido","2024-11-21 08:04:50","Investigando","Acceso Permitido detectado desde Iquitos, Peru","Alta","972","910"
"252","2","Reintento de Autenticación","2024-05-25 03:20:42","Enviada","Reintento de Autenticación detectado desde Tarapoto, Peru","Media","61","59"
"253","3","Intento de Hackeo","2023-08-13 03:12:38","Pendiente","Intento de Hackeo detectado desde Lima, Peru","Media","986","418"
"254","1","Sesión Sospechosa","2023-12-14 11:59:30","Enviada","Sesión Sospechosa detectado desde Cusco, Peru","Alta","265","659"
"255","1","Acceso Permitido","2024-06-23 01:13:33","Pendiente","Acceso Permitido detectado desde Pucallpa, Peru","Baja","434","779"
"256","1","Recuperación de Contraseña","2023-04-07 18:44:32","Leída","Recuperación de Contraseña detectado desde Trujillo, Peru","Baja","394","318"
"257","1","Inicio de Sesión No Reconocido","2024-01-01 01:45:04","En Proceso","Inicio de Sesión No Reconocido detectado desde Moquegua, Peru","Media","565","447"
"258","5","Recuperación de Contraseña","2024-12-24 21:38:26","Investigando","Recuperación de Contraseña detectado desde Huaraz, Peru","Baja","513","748"
"259","2","Cambio de Contraseña","2023-05-09 17:38:49","En Proceso","Cambio de Contraseña detectado desde Lima, Peru","Media","882","322"
"260","2","Fallo de Autenticación","2023-08-21 19:33:02","Resuelta","Fallo de Autenticación detectado desde Pucallpa, Peru","Media","26","107"
"261","1","Inicio de Sesión No Reconocido","2024-05-16 07:29:24","En Proceso","Inicio de Sesión No Reconocido detectado desde Puerto Maldonado, Peru","Media","281","742"
"262","1","Acceso Permitido","2023-03-30 15:11:01","En Proceso","Acceso Permitido detectado desde Chiclayo, Peru","Alta","495","195"
"263","4","Recuperación de Contraseña","2023-08-10 18:22:50","Pendiente","Recuperación de Contraseña detectado desde Tarapoto, Peru","Media","113","20"
"264","4","Recuperación de Contraseña","2023-12-30 17:54:04","Resuelta","Recuperación de Contraseña detectado desde Huancayo, Peru","Alta","470","183"
"265","2","Inicio de Sesión No Reconocido","2024-02-04 16:55:13","Leída","Inicio de Sesión No Reconocido detectado desde Huaraz, Peru","Media","408","617"
"266","5","Sesión Sospechosa","2023-05-01 15:42:27","Enviada","Sesión Sospechosa detectado desde Tarapoto, Peru","Baja","839","803"
"267","4","Acceso Permitido","2024-10-25 09:08:05","Investigando","Acceso Permitido detectado desde Moquegua, Peru","Alta","760","438"
"268","3","Sesión Sospechosa","2023-11-06 21:54:01","Resuelta","Sesión Sospechosa detectado desde Lima, Peru","Baja","666","886"
"269","2","Sesión Expirada","2024-04-16 21:00:26","Resuelta","Sesión Expirada detectado desde Pisco, Peru","Alta","577","389"
"270","5","Sesión Expirada","2024-08-23 10:23:42","Investigando","Sesión Expirada detectado desde Tacna, Peru","Alta","634","410"
"271","1","Fallo de Autenticación","2023-02-21 08:05:35","Investigando","Fallo de Autenticación detectado desde Moquegua, Peru","Alta","590","403"
"272","1","Acceso Permitido","2024-11-15 12:26:49","Enviada","Acceso Permitido detectado desde Chiclayo, Peru","Alta","725","325"
"273","4","Inicio de Sesión No Reconocido","2023-01-19 09:13:00","Enviada","Inicio de Sesión No Reconocido detectado desde Iquitos, Peru","Baja","895","215"
"274","3","Reintento de Autenticación","2024-10-15 07:07:25","Enviada","Reintento de Autenticación detectado desde Pucallpa, Peru","Media","32","192"
"275","2","Fallo de Autenticación","2024-01-24 08:33:33","Enviada","Fallo de Autenticación detectado desde Tacna, Peru","Alta","447","626"
"276","2","Acceso Permitido","2024-10-19 07:35:24","Resuelta","Acceso Permitido detectado desde Pucallpa, Peru","Baja","988","858"
"277","2","Intento de Hackeo","2023-03-17 04:50:52","Investigando","Intento de Hackeo detectado desde Tumbes, Peru","Media","582","413"
"278","1","Fallo de Autenticación","2023-10-13 09:34:25","En Proceso","Fallo de Autenticación detectado desde Chiclayo, Peru","Media","505","252"
"279","3","Acceso Bloqueado","2023-04-12 03:41:10","Resuelta","Acceso Bloqueado detectado desde Lima, Peru","Media","955","200"
"280","1","Acceso Bloqueado","2023-04-08 22:50:23","Resuelta","Acceso Bloqueado detectado desde Arequipa, Peru","Media","297","66"
"281","4","Reintento de Autenticación","2024-11-22 03:28:06","Investigando","Reintento de Autenticación detectado desde Arequipa, Peru","Alta","413","623"
"282","3","Inicio de Sesión No Reconocido","2023-02-27 12:03:05","En Proceso","Inicio de Sesión No Reconocido detectado desde Sullana, Peru","Alta","861","869"
"283","4","Acceso Permitido","2023-10-23 23:05:57","Pendiente","Acceso Permitido detectado desde Sullana, Peru","Baja","319","847"
"284","1","Acceso Bloqueado","2024-12-30 18:31:09","Enviada","Acceso Bloqueado detectado desde Tumbes, Peru","Media","273","431"
"285","4","Recuperación de Contraseña","2024-07-30 17:03:26","Pendiente","Recuperación de Contraseña detectado desde Ayacucho, Peru","Media","510","993"
"286","2","Intento de Hackeo","2023-09-05 12:11:48","Resuelta","Intento de Hackeo detectado desde Cusco, Peru","Baja","409","730"
"287","5","Sesión Expirada","2024-07-27 16:11:41","Enviada","Sesión Expirada detectado desde Huaraz, Peru","Baja","727","382"
"288","2","Recuperación de Contraseña","2024-05-02 08:02:51","Leída","Recuperación de Contraseña detectado desde Chiclayo, Peru","Alta","11","504"
"289","4","Recuperación de Contraseña","2023-12-03 11:43:55","En Proceso","Recuperación de Contraseña detectado desde Iquitos, Peru","Media","13","929"
"290","2","Intento de Hackeo","2023-09-27 03:56:36","Resuelta","Intento de Hackeo detectado desde Tumbes, Peru","Media","446","298"
"291","2","Intento de Hackeo","2023-08-06 21:16:57","Investigando","Intento de Hackeo detectado desde Piura, Peru","Media","734","597"
"292","1","Acceso Permitido","2023-08-06 06:35:59","Enviada","Acceso Permitido detectado desde Tarapoto, Peru","Alta","958","692"
"293","5","Inicio de Sesión No Reconocido","2024-10-15 18:08:35","Pendiente","Inicio de Sesión No Reconocido detectado desde Piura, Peru","Media","988","350"
"294","4","Inicio de Sesión No Reconocido","2024-02-09 13:59:57","Pendiente","Inicio de Sesión No Reconocido detectado desde Moquegua, Peru","Media","447","61"
"295","3","Recuperación de Contraseña","2024-01-02 19:35:07","Enviada","Recuperación de Contraseña detectado desde Moquegua, Peru","Media","284","316"
"296","1","Fallo de Autenticación","2023-03-10 21:13:14","Investigando","Fallo de Autenticación detectado desde Puerto Maldonado, Peru","Baja","161","903"
"297","3","Sesión Sospechosa","2023-01-07 21:09:57","Leída","Sesión Sospechosa detectado desde Trujillo, Peru","Baja","268","125"
"298","4","Acceso Bloqueado","2023-07-05 09:09:45","Leída","Acceso Bloqueado detectado desde Ayacucho, Peru","Baja","122","716"
"299","4","Inicio de Sesión No Reconocido","2023-02-02 13:41:50","Resuelta","Inicio de Sesión No Reconocido detectado desde Pisco, Peru","Media","978","746"
"300","5","Fallo de Autenticación","2024-09-07 17:55:40","Pendiente","Fallo de Autenticación detectado desde Piura, Peru","Baja","133","63"
"301","3","Fallo de Autenticación","2024-08-02 23:36:41","Pendiente","Fallo de Autenticación detectado desde Huaraz, Peru","Media","323","357"
"302","3","Acceso Bloqueado","2023-04-01 22:40:49","Leída","Acceso Bloqueado detectado desde Tacna, Peru","Media","732","543"
"303","3","Reintento de Autenticación","2023-05-07 01:09:52","Resuelta","Reintento de Autenticación detectado desde Chiclayo, Peru","Baja","372","885"
"304","1","Acceso Bloqueado","2024-12-22 22:40:32","Pendiente","Acceso Bloqueado detectado desde Iquitos, Peru","Alta","643","442"
"305","2","Inicio de Sesión No Reconocido","2023-06-30 22:30:08","Investigando","Inicio de Sesión No Reconocido detectado desde Piura, Peru","Baja","210","618"
"306","4","Intento de Hackeo","2023-12-29 06:22:29","Resuelta","Intento de Hackeo detectado desde Trujillo, Peru","Baja","778","181"
"307","5","Sesión Expirada","2024-05-23 03:05:34","En Proceso","Sesión Expirada detectado desde Tacna, Peru","Baja","598","90"
"308","1","Reintento de Autenticación","2024-04-19 21:55:28","Investigando","Reintento de Autenticación detectado desde Tumbes, Peru","Baja","149","454"
"309","1","Inicio de Sesión No Reconocido","2024-12-07 21:36:42","Resuelta","Inicio de Sesión No Reconocido detectado desde Moquegua, Peru","Media","343","69"
"310","3","Cambio de Contraseña","2024-09-02 23:42:54","Pendiente","Cambio de Contraseña detectado desde Piura, Peru","Media","156","652"
"311","3","Intento de Hackeo","2024-12-28 22:48:20","Enviada","Intento de Hackeo detectado desde Tumbes, Peru","Alta","222","648"
"312","4","Sesión Sospechosa","2024-04-16 16:09:20","En Proceso","Sesión Sospechosa detectado desde Tumbes, Peru","Baja","496","427"
"313","3","Acceso Permitido","2023-11-11 11:01:17","En Proceso","Acceso Permitido detectado desde Trujillo, Peru","Media","269","722"
"314","3","Inicio de Sesión No Reconocido","2024-09-26 21:48:03","En Proceso","Inicio de Sesión No Reconocido detectado desde Trujillo, Peru","Alta","873","602"
"315","1","Acceso Bloqueado","2023-08-02 10:34:35","Enviada","Acceso Bloqueado detectado desde Cusco, Peru","Media","321","138"
"316","2","Reintento de Autenticación","2024-12-22 23:48:30","Resuelta","Reintento de Autenticación detectado desde Trujillo, Peru","Media","834","147"
"317","3","Sesión Expirada","2023-06-01 14:21:46","En Proceso","Sesión Expirada detectado desde Ayacucho, Peru","Media","218","962"
"318","4","Fallo de Autenticación","2024-07-16 02:33:36","Leída","Fallo de Autenticación detectado desde Chiclayo, Peru","Media","906","150"
"319","3","Reintento de Autenticación","2023-06-05 02:54:45","Resuelta","Reintento de Autenticación detectado desde Huancayo, Peru","Baja","697","916"
"320","1","Sesión Sospechosa","2024-07-31 05:39:30","Investigando","Sesión Sospechosa detectado desde Ayacucho, Peru","Alta","148","653"
"321","4","Inicio de Sesión No Reconocido","2024-12-25 16:19:13","Pendiente","Inicio de Sesión No Reconocido detectado desde Puerto Maldonado, Peru","Baja","791","489"
"322","4","Reintento de Autenticación","2024-11-21 21:36:13","Leída","Reintento de Autenticación detectado desde Moquegua, Peru","Media","210","775"
"323","3","Intento de Hackeo","2024-05-22 13:02:43","Leída","Intento de Hackeo detectado desde Tumbes, Peru","Media","847","241"
"324","5","Acceso Permitido","2024-01-26 16:01:37","Leída","Acceso Permitido detectado desde Sullana, Peru","Alta","329","859"
"325","5","Acceso Bloqueado","2024-01-23 15:50:52","Pendiente","Acceso Bloqueado detectado desde Huancayo, Peru","Alta","711","902"
"326","4","Acceso Bloqueado","2024-01-24 18:21:54","Enviada","Acceso Bloqueado detectado desde Pucallpa, Peru","Media","670","938"
"327","2","Sesión Sospechosa","2023-05-03 01:06:54","Enviada","Sesión Sospechosa detectado desde Huaraz, Peru","Alta","782","344"
"328","1","Recuperación de Contraseña","2023-09-09 04:03:32","Resuelta","Recuperación de Contraseña detectado desde Trujillo, Peru","Baja","318","813"
"329","2","Reintento de Autenticación","2024-02-14 05:10:20","Enviada","Reintento de Autenticación detectado desde Arequipa, Peru","Baja","473","151"
"330","2","Acceso Bloqueado","2024-10-28 19:52:15","Resuelta","Acceso Bloqueado detectado desde Lima, Peru","Alta","737","375"
"331","1","Cambio de Contraseña","2023-07-31 17:43:59","Investigando","Cambio de Contraseña detectado desde Trujillo, Peru","Alta","226","526"
"332","5","Sesión Expirada","2023-06-11 03:40:46","Leída","Sesión Expirada detectado desde Iquitos, Peru","Media","778","295"
"333","3","Sesión Sospechosa","2023-06-18 15:03:53","En Proceso","Sesión Sospechosa detectado desde Piura, Peru","Baja","555","491"
"334","1","Recuperación de Contraseña","2023-10-30 20:13:29","Leída","Recuperación de Contraseña detectado desde Huancayo, Peru","Media","202","553"
"335","2","Acceso Permitido","2023-09-05 16:44:28","Resuelta","Acceso Permitido detectado desde Chiclayo, Peru","Media","570","644"
"336","3","Cambio de Contraseña","2023-09-04 13:10:29","Investigando","Cambio de Contraseña detectado desde Sullana, Peru","Baja","595","701"
"337","5","Acceso Permitido","2023-08-03 18:57:12","Investigando","Acceso Permitido detectado desde Piura, Peru","Media","449","208"
"338","2","Reintento de Autenticación","2023-03-09 04:13:14","Pendiente","Reintento de Autenticación detectado desde Lima, Peru","Baja","255","132"
"339","1","Sesión Expirada","2023-11-06 03:34:29","Investigando","Sesión Expirada detectado desde Pucallpa, Peru","Baja","859","845"
"340","2","Acceso Bloqueado","2024-03-11 01:23:42","Leída","Acceso Bloqueado detectado desde Iquitos, Peru","Baja","42","131"
"341","3","Fallo de Autenticación","2023-08-23 10:51:08","Pendiente","Fallo de Autenticación detectado desde Puerto Maldonado, Peru","Alta","943","128"
"342","3","Fallo de Autenticación","2024-05-20 18:44:08","Resuelta","Fallo de Autenticación detectado desde Pucallpa, Peru","Media","685","290"
"343","3","Inicio de Sesión No Reconocido","2024-02-24 00:51:55","Resuelta","Inicio de Sesión No Reconocido detectado desde Iquitos, Peru","Baja","1","468"
"344","1","Sesión Expirada","2024-02-02 13:00:39","Leída","Sesión Expirada detectado desde Tumbes, Peru","Baja","349","345"
"345","4","Recuperación de Contraseña","2024-09-19 10:54:58","Investigando","Recuperación de Contraseña detectado desde Tacna, Peru","Baja","58","575"
"346","1","Cambio de Contraseña","2023-01-21 16:40:21","En Proceso","Cambio de Contraseña detectado desde Puerto Maldonado, Peru","Media","113","962"
"347","2","Acceso Permitido","2024-01-16 19:50:25","En Proceso","Acceso Permitido detectado desde Iquitos, Peru","Alta","307","311"
"348","4","Sesión Expirada","2024-08-23 22:01:59","Pendiente","Sesión Expirada detectado desde Cusco, Peru","Alta","148","518"
"349","1","Intento de Hackeo","2023-03-13 03:11:28","Pendiente","Intento de Hackeo detectado desde Ayacucho, Peru","Media","254","505"
"350","1","Acceso Bloqueado","2024-02-22 09:03:17","Enviada","Acceso Bloqueado detectado desde Trujillo, Peru","Baja","381","518"
"351","3","Acceso Permitido","2024-02-06 16:04:04","Investigando","Acceso Permitido detectado desde Huancayo, Peru","Baja","93","220"
"352","4","Acceso Bloqueado","2024-06-30 08:34:39","Resuelta","Acceso Bloqueado detectado desde Cusco, Peru","Baja","749","690"
"353","1","Acceso Bloqueado","2023-12-18 07:52:02","Pendiente","Acceso Bloqueado detectado desde Ayacucho, Peru","Media","775","655"
"354","4","Acceso Permitido","2024-11-16 03:47:12","Investigando","Acceso Permitido detectado desde Arequipa, Peru","Baja","597","486"
"355","3","Reintento de Autenticación","2024-01-20 15:29:50","Leída","Reintento de Autenticación detectado desde Trujillo, Peru","Baja","92","845"
"356","3","Intento de Hackeo","2023-12-25 19:29:22","En Proceso","Intento de Hackeo detectado desde Piura, Peru","Media","388","661"
"357","5","Cambio de Contraseña","2023-02-15 21:05:40","Investigando","Cambio de Contraseña detectado desde Moquegua, Peru","Alta","574","70"
"358","1","Acceso Bloqueado","2024-02-06 09:56:44","Pendiente","Acceso Bloqueado detectado desde Piura, Peru","Baja","439","213"
"359","3","Sesión Sospechosa","2023-08-20 09:07:35","Leída","Sesión Sospechosa detectado desde Chiclayo, Peru","Baja","478","117"
"360","3","Cambio de Contraseña","2024-10-13 18:53:44","Investigando","Cambio de Contraseña detectado desde Ayacucho, Peru","Media","736","172"
"361","2","Fallo de Autenticación","2023-08-11 03:35:39","Pendiente","Fallo de Autenticación detectado desde Iquitos, Peru","Baja","876","747"
"362","1","Reintento de Autenticación","2024-10-31 21:36:43","Leída","Reintento de Autenticación detectado desde Trujillo, Peru","Media","58","327"
"363","4","Sesión Expirada","2024-11-24 11:13:03","Enviada","Sesión Expirada detectado desde Ayacucho, Peru","Baja","124","127"
"364","1","Acceso Permitido","2024-07-08 07:36:26","Resuelta","Acceso Permitido detectado desde Lima, Peru","Alta","131","120"
"365","4","Inicio de Sesión No Reconocido","2023-10-23 04:07:29","Pendiente","Inicio de Sesión No Reconocido detectado desde Moquegua, Peru","Media","97","597"
"366","5","Inicio de Sesión No Reconocido","2024-07-13 05:37:24","Investigando","Inicio de Sesión No Reconocido detectado desde Lima, Peru","Baja","749","169"
"367","2","Cambio de Contraseña","2023-09-12 16:40:45","Pendiente","Cambio de Contraseña detectado desde Arequipa, Peru","Media","367","381"
"368","3","Reintento de Autenticación","2023-02-17 18:47:41","Leída","Reintento de Autenticación detectado desde Cusco, Peru","Media","764","347"
"369","2","Fallo de Autenticación","2023-05-06 05:55:16","Resuelta","Fallo de Autenticación detectado desde Iquitos, Peru","Baja","697","964"
"370","5","Inicio de Sesión No Reconocido","2024-11-05 12:17:56","Pendiente","Inicio de Sesión No Reconocido detectado desde Arequipa, Peru","Alta","340","137"
"371","2","Intento de Hackeo","2023-06-24 17:15:09","Leída","Intento de Hackeo detectado desde Tumbes, Peru","Baja","729","610"
"372","3","Sesión Expirada","2024-08-21 03:08:16","Leída","Sesión Expirada detectado desde Pisco, Peru","Media","353","919"
"373","1","Inicio de Sesión No Reconocido","2024-12-24 14:30:14","En Proceso","Inicio de Sesión No Reconocido detectado desde Pucallpa, Peru","Alta","318","908"
"374","4","Acceso Bloqueado","2023-10-13 18:43:27","En Proceso","Acceso Bloqueado detectado desde Cusco, Peru","Baja","112","576"
"375","2","Intento de Hackeo","2023-06-04 06:47:11","Enviada","Intento de Hackeo detectado desde Tacna, Peru","Baja","204","468"
"376","5","Inicio de Sesión No Reconocido","2024-03-30 13:21:29","Pendiente","Inicio de Sesión No Reconocido detectado desde Pucallpa, Peru","Baja","542","432"
"377","3","Cambio de Contraseña","2024-01-28 13:33:27","En Proceso","Cambio de Contraseña detectado desde Moquegua, Peru","Baja","890","531"
"378","3","Acceso Permitido","2023-09-04 12:29:48","Resuelta","Acceso Permitido detectado desde Iquitos, Peru","Alta","983","220"
"379","1","Sesión Expirada","2023-04-29 13:12:05","Pendiente","Sesión Expirada detectado desde Sullana, Peru","Media","990","181"
"380","3","Inicio de Sesión No Reconocido","2024-07-23 04:35:14","Enviada","Inicio de Sesión No Reconocido detectado desde Lima, Peru","Alta","325","174"
"381","3","Sesión Expirada","2023-02-12 19:12:41","En Proceso","Sesión Expirada detectado desde Huaraz, Peru","Alta","200","7"
"382","5","Sesión Expirada","2023-12-19 16:58:53","Resuelta","Sesión Expirada detectado desde Piura, Peru","Baja","860","757"
"383","3","Acceso Permitido","2024-02-16 07:13:12","Enviada","Acceso Permitido detectado desde Huaraz, Peru","Alta","317","82"
"384","1","Fallo de Autenticación","2023-05-11 14:19:09","Investigando","Fallo de Autenticación detectado desde Huancayo, Peru","Media","701","236"
"385","4","Reintento de Autenticación","2023-07-05 18:58:08","Enviada","Reintento de Autenticación detectado desde Tumbes, Peru","Media","627","84"
"386","4","Acceso Bloqueado","2023-09-13 08:02:37","Pendiente","Acceso Bloqueado detectado desde Piura, Peru","Baja","933","846"
"387","2","Sesión Expirada","2024-11-17 15:11:00","Pendiente","Sesión Expirada detectado desde Piura, Peru","Alta","899","691"
"388","5","Reintento de Autenticación","2024-01-31 02:21:42","Resuelta","Reintento de Autenticación detectado desde Juliaca, Peru","Alta","692","837"
"389","2","Fallo de Autenticación","2023-12-16 07:11:37","En Proceso","Fallo de Autenticación detectado desde Lima, Peru","Alta","156","914"
"390","1","Intento de Hackeo","2023-06-01 07:12:40","En Proceso","Intento de Hackeo detectado desde Tumbes, Peru","Baja","145","615"
"391","3","Recuperación de Contraseña","2024-02-06 18:00:43","Resuelta","Recuperación de Contraseña detectado desde Sullana, Peru","Alta","221","732"
"392","4","Intento de Hackeo","2024-08-28 00:17:22","En Proceso","Intento de Hackeo detectado desde Tacna, Peru","Baja","676","573"
"393","5","Sesión Sospechosa","2024-07-12 12:30:06","Pendiente","Sesión Sospechosa detectado desde Iquitos, Peru","Baja","29","245"
"394","1","Inicio de Sesión No Reconocido","2024-04-24 02:42:03","En Proceso","Inicio de Sesión No Reconocido detectado desde Cajamarca, Peru","Alta","632","440"
"395","4","Inicio de Sesión No Reconocido","2024-01-25 18:45:45","Enviada","Inicio de Sesión No Reconocido detectado desde Huaraz, Peru","Media","364","208"
"396","1","Inicio de Sesión No Reconocido","2024-03-23 16:06:45","Resuelta","Inicio de Sesión No Reconocido detectado desde Huaraz, Peru","Media","828","810"
"397","3","Cambio de Contraseña","2023-08-01 23:24:32","Leída","Cambio de Contraseña detectado desde Ayacucho, Peru","Alta","859","654"
"398","5","Recuperación de Contraseña","2023-03-11 10:21:25","Enviada","Recuperación de Contraseña detectado desde Iquitos, Peru","Media","915","172"
"399","4","Acceso Permitido","2024-03-13 18:46:38","Resuelta","Acceso Permitido detectado desde Cusco, Peru","Baja","433","773"
"400","5","Inicio de Sesión No Reconocido","2023-09-02 19:46:53","En Proceso","Inicio de Sesión No Reconocido detectado desde Sullana, Peru","Media","613","89"
"401","2","Acceso Permitido","2023-02-04 12:31:14","En Proceso","Acceso Permitido detectado desde Arequipa, Peru","Baja","168","128"
"402","4","Reintento de Autenticación","2023-03-11 16:51:14","Leída","Reintento de Autenticación detectado desde Piura, Peru","Media","525","335"
"403","3","Cambio de Contraseña","2023-09-18 03:16:21","Pendiente","Cambio de Contraseña detectado desde Trujillo, Peru","Media","128","48"
"404","4","Sesión Sospechosa","2023-07-23 19:02:49","Enviada","Sesión Sospechosa detectado desde Huaraz, Peru","Media","981","102"
"405","3","Acceso Bloqueado","2023-08-19 02:46:48","En Proceso","Acceso Bloqueado detectado desde Piura, Peru","Media","343","8"
