Descripcion_tarea,Puesto_trabajo,Cond_operacional,Id_actividad,id_tarea
Probar la iluminacion de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento,responsabilidades habituales,275,261
Inspeccionar las bandas transportadoras en busca de desgaste,Especialista en Mantenimiento Preventivo,deberes ocasionales,155,262
Probar la iluminacion de emergencia para verificar su funcionalidad,Ingeniero de Mantenimiento Preventivo,deberes ocasionales,392,263
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Tecnico de Mantenimiento,asignaciones regulares,154,264
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Coordinador de Mantenimiento,metas anuales,142,265
Probar los sistemas de deteccion de gases para verificar su precision,Tecnico de Mantenimiento,Tareas diarias,102,266
Revisar las salidas de emergencia para detectar obstrucciones,Especialista en Mantenimiento Preventivo,responsabilidades habituales,432,267
Probar los botones de parada de emergencia para verificar su funcionalidad,Gerente de Instalaciones,Tareas diarias,183,268
Inspeccionar el andamiaje para asegurar su estabilidad,Gerente de Instalaciones,metas anuales,176,269
Probar los sistemas de deteccion de gases para verificar su precision,Especialista en Mantenimiento Preventivo,deberes ocasionales,371,270
Inspeccionar las bandas transportadoras en busca de desgaste,Inspector de Mantenimiento,obligaciones frecuentes,428,271
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Inspector de Mantenimiento,deberes ocasionales,338,272
Probar los botones de parada de emergencia para verificar su funcionalidad,Ingeniero de Mantenimiento Preventivo,responsabilidades habituales,318,273
Inspeccionar los arneses de seguridad en busca de danos,Inspector de Mantenimiento,Tareas diarias,169,274
Inspeccionar el andamiaje para asegurar su estabilidad,Coordinador de Mantenimiento,Tareas diarias,16,275
Probar la iluminacion de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento Preventivo,metas anuales,27,276
Probar los sistemas de alarma para verificar su respuesta,Coordinador de Mantenimiento,obligaciones frecuentes,240,277
Probar los sistemas de deteccion de gases para verificar su precision,Inspector de Mantenimiento,asignaciones regulares,37,278
Inspeccionar el andamiaje para asegurar su estabilidad,Tecnico de Mantenimiento,responsabilidades habituales,481,279
Probar la iluminacion de emergencia para verificar su funcionalidad,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,146,280
Inspeccionar las bandas transportadoras en busca de desgaste,Coordinador de Mantenimiento,obligaciones frecuentes,342,281
Inspeccionar los arneses de seguridad en busca de danos,Ingeniero de Mantenimiento Preventivo,responsabilidades habituales,437,282
Probar los botones de parada de emergencia para verificar su funcionalidad,Gerente de Instalaciones,recados semanales,242,283
Inspeccionar los arneses de seguridad en busca de danos,Inspector de Mantenimiento,responsabilidades habituales,95,284
Probar la iluminacion de emergencia para verificar su funcionalidad,Planificador de Mantenimiento,Tareas diarias,54,285
Inspeccionar los arneses de seguridad en busca de danos,Especialista en Mantenimiento Preventivo,deberes ocasionales,53,286
Probar los sistemas de alarma para verificar su respuesta,Especialista en Mantenimiento Preventivo,responsabilidades habituales,494,287
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Especialista en Mantenimiento Preventivo,metas anuales,480,288
Probar la iluminacion de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento,metas anuales,218,289
Revisar las salidas de emergencia para detectar obstrucciones,Gerente de Instalaciones,deberes ocasionales,43,290
Inspeccionar las bandas transportadoras en busca de desgaste,Supervisor de Mantenimiento,asignaciones regulares,173,291
Probar los botones de parada de emergencia para verificar su funcionalidad,Lider de Equipo de Mantenimiento,asignaciones regulares,478,292
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Supervisor de Mantenimiento,asignaciones regulares,276,293
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Ingeniero de Mantenimiento Preventivo,asignaciones regulares,258,294
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento,obligaciones frecuentes,313,295
Inspeccionar las bandas transportadoras en busca de desgaste,Inspector de Mantenimiento,obligaciones frecuentes,180,296
Revisar las salidas de emergencia para detectar obstrucciones,Tecnico de Mantenimiento Preventivo,Tareas diarias,336,297
Probar los sistemas de alarma para verificar su respuesta,Planificador de Mantenimiento,asignaciones regulares,90,298
Inspeccionar las bandas transportadoras en busca de desgaste,Coordinador de Mantenimiento,metas anuales,87,299
Probar los sistemas de alarma para verificar su respuesta,Ingeniero de Mantenimiento Preventivo,Tareas diarias,9,300
Inspeccionar las bandas transportadoras en busca de desgaste,Lider de Equipo de Mantenimiento,Tareas diarias,149,301
Inspeccionar las bandas transportadoras en busca de desgaste,Planificador de Mantenimiento,deberes ocasionales,433,302
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Planificador de Mantenimiento,recados semanales,64,303
Probar los sistemas de alarma para verificar su respuesta,Gerente de Instalaciones,metas anuales,68,304
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Supervisor de Mantenimiento,Tareas diarias,88,305
Inspeccionar el andamiaje para asegurar su estabilidad,Gerente de Instalaciones,metas anuales,178,306
Inspeccionar las bandas transportadoras en busca de desgaste,Coordinador de Mantenimiento,metas anuales,372,307
Probar la iluminacion de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,Tareas diarias,340,308
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Ingeniero de Mantenimiento Preventivo,obligaciones frecuentes,395,309
Revisar las salidas de emergencia para detectar obstrucciones,Especialista en Mantenimiento Preventivo,metas anuales,38,310
Probar los sistemas de alarma para verificar su respuesta,Lider de Equipo de Mantenimiento,deberes ocasionales,157,311
Probar los botones de parada de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento Preventivo,obligaciones frecuentes,202,312
Inspeccionar los arneses de seguridad en busca de danos,Coordinador de Mantenimiento,Tareas diarias,86,313
Inspeccionar los arneses de seguridad en busca de danos,Supervisor de Mantenimiento,responsabilidades habituales,115,314
Inspeccionar las bandas transportadoras en busca de desgaste,Inspector de Mantenimiento,deberes ocasionales,445,315
Probar los sistemas de deteccion de gases para verificar su precision,Lider de Equipo de Mantenimiento,Tareas diarias,320,316
Revisar las salidas de emergencia para detectar obstrucciones,Supervisor de Mantenimiento,Tareas diarias,283,317
Probar los sistemas de deteccion de gases para verificar su precision,Supervisor de Mantenimiento,asignaciones regulares,444,318
Probar la iluminacion de emergencia para verificar su funcionalidad,Lider de Equipo de Mantenimiento,obligaciones frecuentes,345,319
Probar los sistemas de alarma para verificar su respuesta,Ingeniero de Mantenimiento Preventivo,metas anuales,240,320
Revisar las salidas de emergencia para detectar obstrucciones,Inspector de Mantenimiento,asignaciones regulares,120,321
Inspeccionar el andamiaje para asegurar su estabilidad,Ingeniero de Mantenimiento Preventivo,deberes ocasionales,155,322
Probar los sistemas de deteccion de gases para verificar su precision,Lider de Equipo de Mantenimiento,deberes ocasionales,193,323
Probar los sistemas de alarma para verificar su respuesta,Coordinador de Mantenimiento,metas anuales,390,324
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento Preventivo,deberes ocasionales,273,325
Revisar las salidas de emergencia para detectar obstrucciones,Supervisor de Mantenimiento,recados semanales,361,326
Inspeccionar el andamiaje para asegurar su estabilidad,Tecnico de Mantenimiento,deberes ocasionales,350,327
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Inspector de Mantenimiento,deberes ocasionales,36,328
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Lider de Equipo de Mantenimiento,responsabilidades habituales,93,329
Inspeccionar los arneses de seguridad en busca de danos,Lider de Equipo de Mantenimiento,Tareas diarias,291,330
Probar la iluminacion de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,recados semanales,102,331
Revisar las salidas de emergencia para detectar obstrucciones,Lider de Equipo de Mantenimiento,metas anuales,161,332
Inspeccionar los arneses de seguridad en busca de danos,Lider de Equipo de Mantenimiento,metas anuales,189,333
Inspeccionar los arneses de seguridad en busca de danos,Supervisor de Mantenimiento,metas anuales,327,334
Inspeccionar el andamiaje para asegurar su estabilidad,Gerente de Instalaciones,Tareas diarias,389,335
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Inspector de Mantenimiento,metas anuales,166,336
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Lider de Equipo de Mantenimiento,metas anuales,410,337
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Tecnico de Mantenimiento,obligaciones frecuentes,34,338
Probar los botones de parada de emergencia para verificar su funcionalidad,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,86,339
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Inspector de Mantenimiento,asignaciones regulares,181,340
Probar la iluminacion de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento Preventivo,obligaciones frecuentes,384,341
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Especialista en Mantenimiento Preventivo,asignaciones regulares,402,342
Probar los botones de parada de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento,Tareas diarias,91,343
Revisar las salidas de emergencia para detectar obstrucciones,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,225,344
Probar los sistemas de deteccion de gases para verificar su precision,Ingeniero de Mantenimiento Preventivo,Tareas diarias,499,345
Revisar las salidas de emergencia para detectar obstrucciones,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,105,346
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Planificador de Mantenimiento,obligaciones frecuentes,426,347
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Especialista en Mantenimiento Preventivo,responsabilidades habituales,298,348
Inspeccionar los arneses de seguridad en busca de danos,Tecnico de Mantenimiento,deberes ocasionales,241,349
Inspeccionar los arneses de seguridad en busca de danos,Lider de Equipo de Mantenimiento,recados semanales,203,350
Probar los botones de parada de emergencia para verificar su funcionalidad,Lider de Equipo de Mantenimiento,asignaciones regulares,31,351
Inspeccionar el andamiaje para asegurar su estabilidad,Tecnico de Mantenimiento Preventivo,obligaciones frecuentes,13,352
Probar los sistemas de deteccion de gases para verificar su precision,Tecnico de Mantenimiento Preventivo,Tareas diarias,432,353
Probar los botones de parada de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento Preventivo,asignaciones regulares,415,354
Probar la iluminacion de emergencia para verificar su funcionalidad,Lider de Equipo de Mantenimiento,asignaciones regulares,461,355
Probar la iluminacion de emergencia para verificar su funcionalidad,Especialista en Mantenimiento Preventivo,metas anuales,309,356
Inspeccionar los arneses de seguridad en busca de danos,Supervisor de Mantenimiento,Tareas diarias,152,357
Probar los sistemas de deteccion de gases para verificar su precision,Especialista en Mantenimiento Preventivo,deberes ocasionales,67,358
Inspeccionar el andamiaje para asegurar su estabilidad,Tecnico de Mantenimiento,asignaciones regulares,493,359
Revisar las salidas de emergencia para detectar obstrucciones,Tecnico de Mantenimiento,obligaciones frecuentes,298,360
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Lider de Equipo de Mantenimiento,metas anuales,363,361
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Planificador de Mantenimiento,Tareas diarias,449,362
Inspeccionar los arneses de seguridad en busca de danos,Tecnico de Mantenimiento Preventivo,metas anuales,391,363
Inspeccionar los arneses de seguridad en busca de danos,Planificador de Mantenimiento,recados semanales,308,364
Revisar las salidas de emergencia para detectar obstrucciones,Gerente de Instalaciones,obligaciones frecuentes,81,365
Inspeccionar los arneses de seguridad en busca de danos,Gerente de Instalaciones,responsabilidades habituales,342,366
Inspeccionar los arneses de seguridad en busca de danos,Ingeniero de Mantenimiento Preventivo,recados semanales,144,367
Probar la iluminacion de emergencia para verificar su funcionalidad,Especialista en Mantenimiento Preventivo,recados semanales,94,368
Revisar las salidas de emergencia para detectar obstrucciones,Tecnico de Mantenimiento Preventivo,asignaciones regulares,425,369
Revisar las salidas de emergencia para detectar obstrucciones,Inspector de Mantenimiento,asignaciones regulares,246,370
Probar la iluminacion de emergencia para verificar su funcionalidad,Gerente de Instalaciones,Tareas diarias,132,371
Probar los sistemas de deteccion de gases para verificar su precision,Planificador de Mantenimiento,obligaciones frecuentes,262,372
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Gerente de Instalaciones,asignaciones regulares,234,373
Inspeccionar los arneses de seguridad en busca de danos,Tecnico de Mantenimiento Preventivo,asignaciones regulares,368,374
Probar los botones de parada de emergencia para verificar su funcionalidad,Inspector de Mantenimiento,asignaciones regulares,267,375
Probar los botones de parada de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,responsabilidades habituales,145,376
Probar los sistemas de deteccion de gases para verificar su precision,Especialista en Mantenimiento Preventivo,responsabilidades habituales,496,377
Probar los botones de parada de emergencia para verificar su funcionalidad,Planificador de Mantenimiento,asignaciones regulares,439,378
Revisar las salidas de emergencia para detectar obstrucciones,Planificador de Mantenimiento,obligaciones frecuentes,71,379
Probar los sistemas de alarma para verificar su respuesta,Planificador de Mantenimiento,responsabilidades habituales,183,380
Probar los botones de parada de emergencia para verificar su funcionalidad,Gerente de Instalaciones,metas anuales,221,381
Probar los sistemas de deteccion de gases para verificar su precision,Planificador de Mantenimiento,responsabilidades habituales,476,382
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Planificador de Mantenimiento,recados semanales,112,383
Inspeccionar los arneses de seguridad en busca de danos,Gerente de Instalaciones,asignaciones regulares,37,384
Probar los sistemas de deteccion de gases para verificar su precision,Gerente de Instalaciones,obligaciones frecuentes,54,385
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Planificador de Mantenimiento,responsabilidades habituales,479,386
Revisar las salidas de emergencia para detectar obstrucciones,Especialista en Mantenimiento Preventivo,deberes ocasionales,340,387
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Inspector de Mantenimiento,deberes ocasionales,33,388
Inspeccionar el andamiaje para asegurar su estabilidad,Inspector de Mantenimiento,deberes ocasionales,85,389
Inspeccionar los arneses de seguridad en busca de danos,Gerente de Instalaciones,Tareas diarias,56,390
Inspeccionar el andamiaje para asegurar su estabilidad,Tecnico de Mantenimiento,asignaciones regulares,486,391
Inspeccionar los arneses de seguridad en busca de danos,Tecnico de Mantenimiento,asignaciones regulares,497,392
Probar los sistemas de alarma para verificar su respuesta,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,191,393
Probar los sistemas de deteccion de gases para verificar su precision,Tecnico de Mantenimiento Preventivo,obligaciones frecuentes,403,394
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Planificador de Mantenimiento,responsabilidades habituales,98,395
Probar los sistemas de alarma para verificar su respuesta,Especialista en Mantenimiento Preventivo,metas anuales,89,396
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento,deberes ocasionales,278,397
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Inspector de Mantenimiento,asignaciones regulares,295,398
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Tecnico de Mantenimiento,asignaciones regulares,185,399
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Coordinador de Mantenimiento,responsabilidades habituales,420,400
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento Preventivo,Tareas diarias,162,401
Probar los sistemas de deteccion de gases para verificar su precision,Tecnico de Mantenimiento Preventivo,recados semanales,175,402
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Lider de Equipo de Mantenimiento,obligaciones frecuentes,449,403
Revisar las salidas de emergencia para detectar obstrucciones,Gerente de Instalaciones,recados semanales,463,404
Probar los sistemas de alarma para verificar su respuesta,Coordinador de Mantenimiento,Tareas diarias,205,405
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Ingeniero de Mantenimiento Preventivo,deberes ocasionales,249,406
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Ingeniero de Mantenimiento Preventivo,asignaciones regulares,138,407
Inspeccionar las bandas transportadoras en busca de desgaste,Inspector de Mantenimiento,asignaciones regulares,77,408
Inspeccionar el andamiaje para asegurar su estabilidad,Supervisor de Mantenimiento,recados semanales,47,409
Probar los sistemas de alarma para verificar su respuesta,Coordinador de Mantenimiento,responsabilidades habituales,217,410
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento Preventivo,recados semanales,333,411
Inspeccionar los arneses de seguridad en busca de danos,Inspector de Mantenimiento,responsabilidades habituales,321,412
Probar los sistemas de alarma para verificar su respuesta,Gerente de Instalaciones,metas anuales,405,413
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento,deberes ocasionales,462,414
Probar los sistemas de alarma para verificar su respuesta,Supervisor de Mantenimiento,asignaciones regulares,466,415
Inspeccionar el andamiaje para asegurar su estabilidad,Planificador de Mantenimiento,recados semanales,446,416
Inspeccionar los arneses de seguridad en busca de danos,Supervisor de Mantenimiento,recados semanales,118,417
Inspeccionar los arneses de seguridad en busca de danos,Especialista en Mantenimiento Preventivo,asignaciones regulares,480,418
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento,obligaciones frecuentes,139,419
Revisar las salidas de emergencia para detectar obstrucciones,Lider de Equipo de Mantenimiento,obligaciones frecuentes,258,420
Probar los botones de parada de emergencia para verificar su funcionalidad,Planificador de Mantenimiento,asignaciones regulares,209,421
Probar la iluminacion de emergencia para verificar su funcionalidad,Inspector de Mantenimiento,asignaciones regulares,424,422
Probar los botones de parada de emergencia para verificar su funcionalidad,Inspector de Mantenimiento,responsabilidades habituales,138,423
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Tecnico de Mantenimiento,asignaciones regulares,425,424
Inspeccionar los arneses de seguridad en busca de danos,Supervisor de Mantenimiento,responsabilidades habituales,197,425
Probar los botones de parada de emergencia para verificar su funcionalidad,Ingeniero de Mantenimiento Preventivo,deberes ocasionales,95,426
Probar los sistemas de alarma para verificar su respuesta,Supervisor de Mantenimiento,deberes ocasionales,211,427
Inspeccionar las bandas transportadoras en busca de desgaste,Ingeniero de Mantenimiento Preventivo,deberes ocasionales,461,428
Inspeccionar el andamiaje para asegurar su estabilidad,Especialista en Mantenimiento Preventivo,recados semanales,138,429
Probar los sistemas de deteccion de gases para verificar su precision,Tecnico de Mantenimiento Preventivo,obligaciones frecuentes,125,430
Inspeccionar los arneses de seguridad en busca de danos,Coordinador de Mantenimiento,deberes ocasionales,332,431
Probar los botones de parada de emergencia para verificar su funcionalidad,Ingeniero de Mantenimiento Preventivo,asignaciones regulares,348,432
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Inspector de Mantenimiento,responsabilidades habituales,271,433
Probar los sistemas de alarma para verificar su respuesta,Gerente de Instalaciones,asignaciones regulares,78,434
Probar la iluminacion de emergencia para verificar su funcionalidad,Gerente de Instalaciones,asignaciones regulares,195,435
Inspeccionar las bandas transportadoras en busca de desgaste,Inspector de Mantenimiento,asignaciones regulares,221,436
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Ingeniero de Mantenimiento Preventivo,responsabilidades habituales,368,437
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento Preventivo,Tareas diarias,388,438
Probar la iluminacion de emergencia para verificar su funcionalidad,Lider de Equipo de Mantenimiento,asignaciones regulares,72,439
Probar los botones de parada de emergencia para verificar su funcionalidad,Planificador de Mantenimiento,obligaciones frecuentes,439,440
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Inspector de Mantenimiento,deberes ocasionales,228,441
Probar los sistemas de deteccion de gases para verificar su precision,Tecnico de Mantenimiento,metas anuales,349,442
Inspeccionar el andamiaje para asegurar su estabilidad,Gerente de Instalaciones,asignaciones regulares,411,443
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Especialista en Mantenimiento Preventivo,recados semanales,480,444
Revisar las salidas de emergencia para detectar obstrucciones,Lider de Equipo de Mantenimiento,recados semanales,86,445
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Planificador de Mantenimiento,metas anuales,279,446
Probar la iluminacion de emergencia para verificar su funcionalidad,Especialista en Mantenimiento Preventivo,recados semanales,247,447
Probar los sistemas de alarma para verificar su respuesta,Inspector de Mantenimiento,deberes ocasionales,236,448
Probar los botones de parada de emergencia para verificar su funcionalidad,Planificador de Mantenimiento,deberes ocasionales,402,449
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Inspector de Mantenimiento,responsabilidades habituales,132,450
Inspeccionar los arneses de seguridad en busca de danos,Planificador de Mantenimiento,Tareas diarias,212,451
Revisar las salidas de emergencia para detectar obstrucciones,Lider de Equipo de Mantenimiento,metas anuales,470,452
Inspeccionar el andamiaje para asegurar su estabilidad,Lider de Equipo de Mantenimiento,Tareas diarias,245,453
Probar la iluminacion de emergencia para verificar su funcionalidad,Planificador de Mantenimiento,recados semanales,411,454
Inspeccionar las bandas transportadoras en busca de desgaste,Planificador de Mantenimiento,Tareas diarias,169,455
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Lider de Equipo de Mantenimiento,recados semanales,207,456
Probar la iluminacion de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,metas anuales,291,457
Revisar las salidas de emergencia para detectar obstrucciones,Lider de Equipo de Mantenimiento,asignaciones regulares,191,458
Inspeccionar el andamiaje para asegurar su estabilidad,Tecnico de Mantenimiento Preventivo,recados semanales,403,459
Probar los sistemas de deteccion de gases para verificar su precision,Tecnico de Mantenimiento,metas anuales,408,460
Probar los sistemas de deteccion de gases para verificar su precision,Tecnico de Mantenimiento,obligaciones frecuentes,110,461
Probar la iluminacion de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,responsabilidades habituales,127,462
Inspeccionar los arneses de seguridad en busca de danos,Gerente de Instalaciones,deberes ocasionales,137,463
Probar la iluminacion de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,recados semanales,194,464
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Ingeniero de Mantenimiento Preventivo,Tareas diarias,462,465
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Tecnico de Mantenimiento Preventivo,metas anuales,173,466
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Ingeniero de Mantenimiento Preventivo,metas anuales,123,467
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Gerente de Instalaciones,deberes ocasionales,236,468
Probar los sistemas de deteccion de gases para verificar su precision,Ingeniero de Mantenimiento Preventivo,obligaciones frecuentes,163,469
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Tecnico de Mantenimiento,obligaciones frecuentes,436,470
Probar la iluminacion de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,responsabilidades habituales,232,471
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento Preventivo,deberes ocasionales,4,472
Probar los sistemas de alarma para verificar su respuesta,Planificador de Mantenimiento,responsabilidades habituales,242,473
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Planificador de Mantenimiento,Tareas diarias,230,474
Inspeccionar el andamiaje para asegurar su estabilidad,Inspector de Mantenimiento,recados semanales,368,475
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Especialista en Mantenimiento Preventivo,deberes ocasionales,318,476
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Lider de Equipo de Mantenimiento,Tareas diarias,279,477
Inspeccionar los arneses de seguridad en busca de danos,Inspector de Mantenimiento,asignaciones regulares,248,478
Probar la iluminacion de emergencia para verificar su funcionalidad,Especialista en Mantenimiento Preventivo,responsabilidades habituales,429,479
Inspeccionar las bandas transportadoras en busca de desgaste,Inspector de Mantenimiento,obligaciones frecuentes,75,480
Probar los sistemas de deteccion de gases para verificar su precision,Gerente de Instalaciones,metas anuales,183,481
Inspeccionar el andamiaje para asegurar su estabilidad,Lider de Equipo de Mantenimiento,Tareas diarias,370,482
Probar los botones de parada de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,obligaciones frecuentes,356,483
Probar los sistemas de deteccion de gases para verificar su precision,Planificador de Mantenimiento,deberes ocasionales,219,484
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Especialista en Mantenimiento Preventivo,responsabilidades habituales,102,485
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Ingeniero de Mantenimiento Preventivo,Tareas diarias,339,486
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Especialista en Mantenimiento Preventivo,Tareas diarias,451,487
Revisar las salidas de emergencia para detectar obstrucciones,Tecnico de Mantenimiento,asignaciones regulares,104,488
Probar la iluminacion de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento,responsabilidades habituales,332,489
Inspeccionar las bandas transportadoras en busca de desgaste,Especialista en Mantenimiento Preventivo,deberes ocasionales,492,490
Probar la iluminacion de emergencia para verificar su funcionalidad,Gerente de Instalaciones,obligaciones frecuentes,326,491
Inspeccionar las bandas transportadoras en busca de desgaste,Gerente de Instalaciones,recados semanales,147,492
Inspeccionar el andamiaje para asegurar su estabilidad,Gerente de Instalaciones,metas anuales,94,493
Inspeccionar los arneses de seguridad en busca de danos,Ingeniero de Mantenimiento Preventivo,recados semanales,125,494
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Coordinador de Mantenimiento,Tareas diarias,84,495
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Ingeniero de Mantenimiento Preventivo,Tareas diarias,214,496
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento Preventivo,recados semanales,4,497
Inspeccionar los arneses de seguridad en busca de danos,Coordinador de Mantenimiento,metas anuales,430,498
Inspeccionar el andamiaje para asegurar su estabilidad,Gerente de Instalaciones,asignaciones regulares,17,499
Probar la iluminacion de emergencia para verificar su funcionalidad,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,285,500
Inspeccionar los arneses de seguridad en busca de danos,Especialista en Mantenimiento Preventivo,deberes ocasionales,457,501
Inspeccionar el andamiaje para asegurar su estabilidad,Ingeniero de Mantenimiento Preventivo,metas anuales,45,502
Inspeccionar el andamiaje para asegurar su estabilidad,Coordinador de Mantenimiento,obligaciones frecuentes,265,503
Probar los botones de parada de emergencia para verificar su funcionalidad,Ingeniero de Mantenimiento Preventivo,asignaciones regulares,185,504
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Tecnico de Mantenimiento,responsabilidades habituales,351,505
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Lider de Equipo de Mantenimiento,Tareas diarias,400,506
Inspeccionar los arneses de seguridad en busca de danos,Gerente de Instalaciones,responsabilidades habituales,291,507
Inspeccionar el andamiaje para asegurar su estabilidad,Tecnico de Mantenimiento,asignaciones regulares,224,508
Probar los botones de parada de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,Tareas diarias,441,509
Probar los botones de parada de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento,asignaciones regulares,115,510
Probar los botones de parada de emergencia para verificar su funcionalidad,Ingeniero de Mantenimiento Preventivo,obligaciones frecuentes,288,511
Inspeccionar los arneses de seguridad en busca de danos,Coordinador de Mantenimiento,Tareas diarias,147,512
Probar los sistemas de alarma para verificar su respuesta,Gerente de Instalaciones,recados semanales,266,513
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Supervisor de Mantenimiento,Tareas diarias,438,514
Probar los sistemas de deteccion de gases para verificar su precision,Lider de Equipo de Mantenimiento,Tareas diarias,298,515
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento Preventivo,obligaciones frecuentes,67,516
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento,asignaciones regulares,77,517
Probar la iluminacion de emergencia para verificar su funcionalidad,Lider de Equipo de Mantenimiento,recados semanales,150,518
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Planificador de Mantenimiento,responsabilidades habituales,34,519
